date,verdict
2026-07-17,曲线倒挂后 SP500 未来12月：中位 12.8%、上涨率 70%（vs 基率中位 11.0%）——但仅 7 个独立倒挂段，分布不可靠，别当规律
2026-07-20,曲线倒挂后 SP500 未来12月：中位 12.8%、上涨率 70%（vs 基率中位 11.0%）——但仅 7 个独立倒挂段，分布不可靠，别当规律
2026-07-21,曲线倒挂后 SP500 未来12月：中位 12.8%、上涨率 70%（vs 基率中位 11.0%）——但仅 7 个独立倒挂段，分布不可靠，别当规律
2026-07-22,曲线倒挂后 SP500 未来12月：中位 12.8%、上涨率 70%（vs 基率中位 11.0%）——但仅 7 个独立倒挂段，分布不可靠，别当规律
2026-07-23,曲线倒挂后 SP500 未来12月：中位 12.8%、上涨率 70%（vs 基率中位 11.0%）——但仅 7 个独立倒挂段，分布不可靠，别当规律
2026-07-28,曲线倒挂后 SP500 未来12月：中位 12.8%、上涨率 70%（vs 基率中位 11.0%）——但仅 7 个独立倒挂段，分布不可靠，别当规律
2026-07-29,曲线倒挂后 SP500 未来12月：中位 12.8%、上涨率 70%（vs 基率中位 11.0%）——但仅 7 个独立倒挂段，分布不可靠，别当规律
2026-07-30,曲线倒挂后 SP500 未来12月：中位 12.8%、上涨率 70%（vs 基率中位 11.0%）——但仅 7 个独立倒挂段，分布不可靠，别当规律
2026-07-31,曲线倒挂后 SP500 未来12月：中位 12.8%、上涨率 70%（vs 基率中位 11.0%）——但仅 7 个独立倒挂段，分布不可靠，别当规律
2026-08-03,曲线倒挂后 SP500 未来12月：中位 12.8%、上涨率 70%（vs 基率中位 11.0%）——但仅 7 个独立倒挂段，分布不可靠，别当规律
2026-08-04,曲线倒挂后 SP500 未来12月：中位 12.8%、上涨率 70%（vs 基率中位 11.0%）——但仅 7 个独立倒挂段，分布不可靠，别当规律
2026-08-05,曲线倒挂后 SP500 未来12月：中位 12.8%、上涨率 70%（vs 基率中位 11.0%）——但仅 7 个独立倒挂段，分布不可靠，别当规律
2026-08-06,曲线倒挂后 SP500 未来12月：中位 12.8%、上涨率 70%（vs 基率中位 11.0%）——但仅 7 个独立倒挂段，分布不可靠，别当规律
2026-08-07,曲线倒挂后 SP500 未来12月：中位 12.8%、上涨率 70%（vs 基率中位 11.0%）——但仅 7 个独立倒挂段，分布不可靠，别当规律
2026-08-10,曲线倒挂后 SP500 未来12月：中位 12.8%、上涨率 70%（vs 基率中位 11.0%）——但仅 7 个独立倒挂段，分布不可靠，别当规律
2026-08-11,曲线倒挂后 SP500 未来12月：中位 12.8%、上涨率 70%（vs 基率中位 11.0%）——但仅 7 个独立倒挂段，分布不可靠，别当规律
2026-08-12,曲线倒挂后 SP500 未来12月：中位 12.8%、上涨率 70%（vs 基率中位 11.0%）——但仅 7 个独立倒挂段，分布不可靠，别当规律
2026-08-13,曲线倒挂后 SP500 未来12月：中位 12.8%、上涨率 70%（vs 基率中位 11.0%）——但仅 7 个独立倒挂段，分布不可靠，别当规律
2026-08-14,曲线倒挂后 SP500 未来12月：中位 12.8%、上涨率 70%（vs 基率中位 11.0%）——但仅 7 个独立倒挂段，分布不可靠，别当规律
2026-08-17,曲线倒挂后 SP500 未来12月：中位 12.8%、上涨率 70%（vs 基率中位 11.0%）——但仅 7 个独立倒挂段，分布不可靠，别当规律
2026-08-18,曲线倒挂后 SP500 未来12月：中位 12.8%、上涨率 70%（vs 基率中位 11.0%）——但仅 7 个独立倒挂段，分布不可靠，别当规律
2026-08-19,曲线倒挂后 SP500 未来12月：中位 12.8%、上涨率 70%（vs 基率中位 11.0%）——但仅 7 个独立倒挂段，分布不可靠，别当规律
2026-08-20,曲线倒挂后 SP500 未来12月：中位 12.8%、上涨率 70%（vs 基率中位 11.0%）——但仅 7 个独立倒挂段，分布不可靠，别当规律
2026-08-21,曲线倒挂后 SP500 未来12月：中位 12.8%、上涨率 70%（vs 基率中位 11.0%）——但仅 7 个独立倒挂段，分布不可靠，别当规律
2026-08-24,曲线倒挂后 SP500 未来12月：中位 12.8%、上涨率 70%（vs 基率中位 11.1%）——但仅 7 个独立倒挂段，分布不可靠，别当规律
2026-08-25,曲线倒挂后 SP500 未来12月：中位 12.8%、上涨率 70%（vs 基率中位 11.1%）——但仅 7 个独立倒挂段，分布不可靠，别当规律
2026-08-26,曲线倒挂后 SP500 未来12月：中位 12.8%、上涨率 70%（vs 基率中位 11.1%）——但仅 7 个独立倒挂段，分布不可靠，别当规律
2026-08-27,曲线倒挂后 SP500 未来12月：中位 12.8%、上涨率 70%（vs 基率中位 11.1%）——但仅 7 个独立倒挂段，分布不可靠，别当规律
2026-08-28,曲线倒挂后 SP500 未来12月：中位 12.8%、上涨率 70%（vs 基率中位 11.1%）——但仅 7 个独立倒挂段，分布不可靠，别当规律
2026-08-29,曲线倒挂后 SP500 未来12月：中位 12.8%、上涨率 70%（vs 基率中位 11.1%）——但仅 7 个独立倒挂段，分布不可靠，别当规律
2026-08-31,曲线倒挂后 SP500 未来12月：中位 12.8%、上涨率 70%（vs 基率中位 11.1%）——但仅 7 个独立倒挂段，分布不可靠，别当规律
2026-09-01,曲线倒挂后 SP500 未来12月：中位 12.8%、上涨率 70%（vs 基率中位 11.1%）——但仅 7 个独立倒挂段，分布不可靠，别当规律
2026-09-02,曲线倒挂后 SP500 未来12月：中位 12.8%、上涨率 70%（vs 基率中位 11.1%）——但仅 7 个独立倒挂段，分布不可靠，别当规律
2026-09-03,曲线倒挂后 SP500 未来12月：中位 12.8%、上涨率 70%（vs 基率中位 11.1%）——但仅 7 个独立倒挂段，分布不可靠，别当规律
2026-09-04,曲线倒挂后 SP500 未来12月：中位 12.8%、上涨率 70%（vs 基率中位 11.1%）——但仅 7 个独立倒挂段，分布不可靠，别当规律
2026-09-06,曲线倒挂后 SP500 未来12月：中位 12.8%、上涨率 70%（vs 基率中位 11.1%）——但仅 7 个独立倒挂段，分布不可靠，别当规律
2026-09-07,曲线倒挂后 SP500 未来12月：中位 12.8%、上涨率 70%（vs 基率中位 11.1%）——但仅 7 个独立倒挂段，分布不可靠，别当规律
2026-09-08,曲线倒挂后 SP500 未来12月：中位 12.8%、上涨率 70%（vs 基率中位 11.1%）——但仅 7 个独立倒挂段，分布不可靠，别当规律
2026-09-09,曲线倒挂后 SP500 未来12月：中位 12.8%、上涨率 70%（vs 基率中位 11.1%）——但仅 7 个独立倒挂段，分布不可靠，别当规律
